datetime	open	high	low	close	volume
07.10.2020 00:00	173.0	174.36	170.84	172.48	531659
08.10.2020 00:00	172.46	175.4	172.1	174.28	842997
09.10.2020 00:00	170.42	171.86	167.02	169.22	605268
12.10.2020 00:00	169.3	173.52	169.0	173.28	403862
13.10.2020 00:00	173.1	173.3	167.8	168.28	365969
14.10.2020 00:00	168.16	170.5	167.12	169.68	518044
15.10.2020 00:00	169.7	171.38	168.68	170.74	402125
16.10.2020 00:00	170.84	171.9	169.64	170.56	407344
19.10.2020 00:00	171.02	171.7	168.02	170.14	212592
20.10.2020 00:00	169.8	172.62	169.76	172.34	284587
21.10.2020 00:00	172.48	173.34	170.4	171.22	442813
22.10.2020 00:00	170.7	182.22	170.7	180.24	1328765
23.10.2020 00:00	180.4	181.92	178.7	179.5	703136
26.10.2020 00:00	179.88	181.0	178.02	179.64	477359
27.10.2020 00:00	179.98	184.18	179.24	180.62	688904
28.10.2020 00:00	181.02	181.84	175.62	178.84	795411
29.10.2020 00:00	179.44	182.5	177.36	181.08	598113
30.10.2020 00:00	179.98	186.4	177.8	185.1	913946
02.11.2020 00:00	185.2	189.24	183.24	188.2	703254
03.11.2020 00:00	190.04	191.32	188.2	190.6	643375
05.11.2020 00:00	193.44	194.24	185.7	186.54	1244500
06.11.2020 00:00	186.0	189.58	184.0	189.5	779645
09.11.2020 00:00	190.4	193.66	188.0	191.88	773432
10.11.2020 00:00	192.0	193.1	190.38	192.42	578033
11.11.2020 00:00	191.78	195.1	191.76	194.44	548706
12.11.2020 00:00	193.0	194.98	191.72	193.48	1033443
13.11.2020 00:00	193.6	198.52	192.72	197.72	542965
16.11.2020 00:00	198.7	202.86	198.0	202.58	1005838
17.11.2020 00:00	202.64	202.76	193.8	196.06	998420
18.11.2020 00:00	195.56	196.18	190.72	192.6	1002476
19.11.2020 00:00	191.98	193.8	190.2	191.0	460941
20.11.2020 00:00	191.5	192.2	189.76	191.34	285552
23.11.2020 00:00	191.56	193.9	188.7	190.34	515769
24.11.2020 00:00	190.2	193.9	189.76	193.44	375439
25.11.2020 00:00	193.9	195.6	191.7	194.46	451879
26.11.2020 00:00	194.5	198.22	193.98	197.14	523676
27.11.2020 00:00	197.64	199.48	196.1	198.38	324925
30.11.2020 00:00	197.82	198.46	191.24	192.62	1551247
01.12.2020 00:00	193.44	198.2	193.02	196.34	691233
02.12.2020 00:00	196.3	203.5	193.2	194.76	1709832
03.12.2020 00:00	192.4	194.9	189.26	191.0	2664352
04.12.2020 00:00	191.54	193.56	189.02	192.38	1145219
07.12.2020 00:00	192.26	198.98	191.1	196.44	1470530
08.12.2020 00:00	196.88	200.0	196.04	198.3	1349461
09.12.2020 00:00	198.52	201.22	196.78	197.26	1488185
10.12.2020 00:00	197.52	201.4	197.5	201.1	732712
11.12.2020 00:00	200.98	205.52	200.74	204.5	1152114
14.12.2020 00:00	206.0	212.8	205.28	211.1	1413830
15.12.2020 00:00	210.7	214.48	207.32	211.32	1025764
16.12.2020 00:00	212.1	215.94	211.8	214.44	965623
17.12.2020 00:00	214.9	216.4	211.64	213.18	728866
18.12.2020 00:00	213.0	214.48	210.24	213.34	903887
21.12.2020 00:00	213.0	214.4	206.5	210.4	986531
22.12.2020 00:00	210.0	217.9	209.08	217.2	1059920
23.12.2020 00:00	216.9	219.5	216.22	218.22	585773
24.12.2020 00:00	218.96	220.64	217.4	219.8	679676
25.12.2020 00:00	220.04	225.44	220.0	224.36	1209796
28.12.2020 00:00	218.3	221.48	218.1	220.4	1070646
29.12.2020 00:00	219.58	220.74	207.42	209.8	1803300
30.12.2020 00:00	210.02	211.82	205.56	208.84	1207506
